TaskID    GiftID    GiftType  TaskType    RequestTime   TaskArrival  TT    Responsible 
1         1         3         A           0            0             2     B          
2         2         1         C           1            1             1     A          
3         1         3         C           0            2             1     B          
5         3         4         Q           2            0             3     S          
8         4         1         C           3            3             1     B          
6         2         1         D           1            2             2     S          
4         3         4         P           2            2             3     A          
10        5         4         Q           4            0             5     S          
12        3         4         C           2            5             1     B          
7         1         3         D           0            3             3     S          
11        4         1         D           3            4             3     S          
9         5         4         P           4            4             4     A          
13        6         3         A           5            5             3     B          
14        3         4         D           2            6             2     S          
17        5         4         C           4            8             1     A          
18        6         3         C           5            8             1     B          
20        5         4         D           4            9             1     S          
19        9         1         C           8            8             2     A          
22        10        1         C           9            9             2     A          
21        6         3         D           5            9             2     S          
15        7         3         A           6            6             5     B          
24        11        1         C           10           10            2     A          
23        9         1         D           8            10            2     S          
26        7         3         C           6            11            1     B          
25        10        1         D           9            11            2     S          
30        13        1         C           12           12            1     B          
28        11        1         D           10           12            2     S          
16        8         2         P           7            7             8     A          
29        7         3         D           6            12            3     S          
33        15        1         C           14           14            1     B          
32        13        1         D           12           13            3     S          
34        8         2         C           7            15            1     A          
36        16        1         C           15           15            1     B          
35        15        1         D           14           15            2     S          
39        17        1         C           16           16            1     B          
37        8         2         D           7            16            2     S          
27        12        2         P           11           11            8     A          
41        18        4         Q           17           0             19    S          
44        12        2         C           11           19            1     A          
38        16        1         D           15           16            4     S          
45        20        1         C           19           19            1     B          
42        17        1         D           16           17            4     S          
47        21        1         C           20           20            1     B          
46        12        2         D           11           20            2     S          
50        22        1         C           21           21            1     B          
31        14        2         P           13           13            10    A          
48        20        1         D           19           20            3     S          
53        14        2         C           13           23            1     A          
49        21        1         D           20           21            3     S          
51        23        3         A           22           22            2     B          
54        24        1         C           23           23            2     A          
52        22        1         D           21           22            3     S          
56        23        3         C           22           24            1     B          
57        25        1         C           24           24            2     A          
55        14        2         D           13           24            2     S          
60        26        1         C           25           25            1     B          
58        24        1         D           23           25            2     S          
59        23        3         D           22           25            3     S          
64        28        1         C           27           27            1     B          
40        18        4         P           17           17            12    A          
61        25        1         D           24           26            3     S          
66        29        1         C           28           28            1     B          
67        18        4         C           17           29            1     A          
63        26        1         D           25           26            4     S          
68        30        1         C           29           29            1     B          
65        28        1         D           27           28            3     S          
69        29        1         D           28           29            3     S          
72        31        3         A           30           30            2     B          
43        19        2         P           18           18            15    A          
70        18        4         D           17           30            3     S          
74        31        3         C           30           32            1     B          
73        32        1         C           31           31            3     A          
71        30        1         D           29           30            4     S          
75        33        1         C           32           32            2     B          
76        19        2         C           18           33            2     A          
77        31        3         D           30           33            2     S          
78        34        1         C           33           33            2     B          
80        35        1         C           34           34            2     A          
79        32        1         D           31           34            2     S          
84        36        1         C           35           35            1     B          
81        33        1         D           32           34            3     S          
86        37        1         C           36           36            1     B          
82        19        2         D           18           35            3     S          
62        27        2         P           26           26            13    A          
83        34        1         D           33           35            4     S          
88        38        3         A           37           37            2     B          
90        39        1         C           38           38            2     A          
85        35        1         D           34           36            4     S          
91        27        2         C           26           39            1     B          
93        38        3         C           37           39            2     A          
87        36        1         D           35           36            5     S          
95        41        1         C           40           40            1     B          
89        37        1         D           36           37            5     S          
94        39        1         D           38           40            3     S          
100       43        1         C           42           42            1     B          
92        40        2         P           39           39            5     A          
96        27        2         D           26           40            4     S          
101       44        1         C           43           43            1     B          
103       40        2         C           39           44            1     A          
97        38        3         D           37           41            4     S          
99        41        1         D           40           41            5     S          
104       45        3         A           44           44            2     B          
102       43        1         D           42           43            4     S          
107       46        1         C           45           45            2     B          
98        42        2         P           41           41            7     A          
105       44        1         D           43           44            4     S          
108       45        3         C           44           46            2     B          
113       42        2         C           41           48            1     A          
112       48        4         Q           47           0             49    S          
115       49        1         C           48           48            1     B          
106       40        2         D           39           45            5     S          
117       50        1         C           49           49            1     B          
110       46        1         D           45           47            4     S          
111       48        4         P           47           47            5     A          
120       51        4         Q           50           0             52    S          
109       47        3         A           46           46            6     B          
122       52        1         C           51           51            2     A          
114       45        3         D           44           48            5     S          
123       48        4         C           47           52            1     B          
124       47        3         C           46           52            2     A          
116       42        2         D           41           49            5     S          
125       53        1         C           52           52            2     B          
128       54        1         C           53           53            2     A          
118       49        1         D           48           49            6     S          
131       55        1         C           54           54            1     B          
121       50        1         D           49           50            6     S          
126       52        1         D           51           53            4     S          
133       56        3         A           55           55            2     B          
119       51        4         P           50           50            8     A          
127       48        4         D           47           53            5     S          
137       56        3         C           55           57            1     B          
138       51        4         C           50           58            1     A          
129       47        3         D           46           54            5     S          
139       59        1         C           58           58            1     B          
130       53        1         D           52           54            6     S          
143       60        1         C           59           59            1     B          
132       54        1         D           53           55            6     S          
144       61        1         C           60           60            1     B          
135       57        2         P           56           56            6     A          
134       55        1         D           54           55            7     S          
148       57        2         C           56           62            1     B          
147       61        1         D           60           61            2     S          
140       56        3         D           55           58            6     S          
136       58        2         P           57           57            8     A          
149       63        3         A           62           62            3     B          
141       51        4         D           50           59            6     S          
151       64        1         C           63           63            3     A          
154       58        2         C           57           65            1     B          
153       65        4         Q           64           0             66    S          
155       63        3         C           62           65            2     A          
157       66        4         Q           65           0             67    S          
160       67        1         C           66           66            1     B          
142       59        1         D           58           59            9     S          
162       68        1         C           67           67            1     B          
145       60        1         D           59           60            9     S          
164       69        1         C           68           68            2     B          
146       62        2         P           61           61            9     A          
150       57        2         D           56           63            7     S          
166       70        1         C           70           70            1     B          
168       62        2         C           61           70            1     A          
158       64        1         D           63           66            5     S          
169       71        1         C           71           71            1     B          
159       58        2         D           57           66            6     S          
172       72        1         C           72           72            1     B          
161       63        3         D           62           67            6     S          
152       65        4         P           64           64            10    A          
163       67        1         D           66           67            7     S          
174       73        3         A           73           73            2     B          
177       65        4         C           64           74            1     A          
165       68        1         D           67           68            7     S          
179       73        3         C           73           75            1     B          
167       69        1         D           68           70            6     S          
181       76        1         C           76           76            1     B          
170       70        1         D           70           71            7     S          
156       66        4         P           65           65            13    A          
171       62        2         D           61           71            8     S          
178       75        3         A           75           75            4     B          
186       66        4         C           65           78            1     A          
173       71        1         D           71           72            8     S          
187       75        3         C           75           79            1     B          
188       79        1         C           79           79            1     A          
175       72        1         D           72           73            8     S          
191       80        1         C           80           80            1     A          
180       65        4         D           64           75            7     S          
184       77        3         A           77           77            5     B          
182       73        3         D           73           76            7     S          
195       77        3         C           77           82            1     B          
183       76        1         D           76           77            7     S          
196       82        1         C           82           82            2     B          
176       74        2         P           74           74            10    A          
189       66        4         D           65           79            6     S          
200       84        1         C           84           84            1     A          
190       75        3         D           75           80            6     S          
198       83        3         A           83           83            3     B          
201       74        2         C           74           84            2     A          
202       85        1         C           85           85            2     B          
192       79        1         D           79           80            7     S          
204       83        3         C           83           86            1     A          
205       86        1         C           86           86            2     B          
194       80        1         D           80           81            7     S          
208       87        1         C           87           87            1     A          
197       77        3         D           77           83            6     S          
199       82        1         D           82           84            6     S          
213       89        1         C           89           89            1     B          
203       84        1         D           84           85            6     S          
185       78        2         P           78           78            13    A          
214       90        3         A           90           90            2     B          
206       74        2         D           74           86            6     S          
216       91        1         C           91           91            1     A          
218       90        3         C           90           92            1     B          
207       85        1         D           85           87            6     S          
217       78        2         C           78           91            2     A          
219       92        1         C           92           92            2     B          
221       90        3         D           90           93            1     S          
222       93        1         C           93           93            1     A          
209       83        3         D           83           87            8     S          
225       94        3         A           94           94            2     B          
210       86        1         D           86           88            8     S          
227       95        1         C           95           95            2     B          
212       87        1         D           87           88            9     S          
193       81        2         P           81           81            16    A          
228       94        3         C           94           96            2     B          
215       89        1         D           89           90            8     S          
232       81        2         C           81           97            1     A          
220       91        1         D           91           92            7     S          
229       96        3         A           96           96            4     B          
223       78        2         D           78           93            7     S          
237       96        3         C           96           100           1     B          
224       92        1         D           92           94            7     S          
211       88        2         P           88           88            13    A          
226       93        1         D           93           94            8     S          
240       101       1         C           101          101           1     A          
231       97        3         A           97           97            6     B          
243       102       5         Q           102          102           1     S          
241       88        2         C           88           101           2     A          
230       95        1         D           95           97            7     S          
245       97        3         C           97           103           1     B          
233       94        3         D           94           98            7     S          
235       81        2         D           81           98            8     S          
234       98        3         A           98           98            8     B          
236       99        2         P           99           99            7     A          
239       96        3         D           96           101           6     S          
251       98        3         C           98           106           1     B          
252       106       1         C           106          106           2     A          
244       101       1         D           101          102           6     S          
253       99        2         C           99           106           2     B          
255       107       4         Q           107          0             109   S          
247       88        2         D           88           103           7     S          
258       108       3         A           108          108           2     B          
238       100       2         P           100          100           11    A          
249       97        3         D           97           104           7     S          
262       108       3         C           108          110           1     B          
263       100       2         C           100          111           1     A          
264       111       1         C           111          111           1     B          
256       98        3         D           98           107           5     S          
257       106       1         D           106          108           5     S          
261       110       3         A           110          110           4     B          
259       99        2         D           99           108           6     S          
242       102       5         A           102          102           13    A          
268       112       1         C           112          112           3     B          
265       108       3         D           108          111           4     S          
270       110       3         C           110          114           2     A          
271       114       1         C           114          114           2     B          
266       100       2         D           100          112           4     S          
272       102       5         C           102          115           2     A          
267       111       1         D           111          112           5     S          
273       112       1         D           112          115           3     S          
279       117       3         A           117          117           2     B          
275       110       3         D           110          116           3     S          
246       103       2         P           103          103           17    A          
276       114       1         D           114          116           4     S          
281       117       3         C           117          119           1     B          
